64
lattice vector
     0.01517    10.84483     0.01178    10.84822     0.03398    10.82602
atoms
    2     3.84074    10.17260     9.92097
    2     6.90270    10.27520     9.34495
    2     9.15355     7.57983     2.29500
    2     5.56177     3.26467     8.22196
    2     4.82248     8.14580     8.84327
    2     3.63520     7.93952     2.92124
    2     9.97520     8.42962     7.14910
    2     0.10818     1.62632     1.28259
    2     9.54459     2.07813     8.65480
    2     7.05339    10.47280     1.92088
    2     5.05545     7.18377     6.50875
    2     1.64422     7.59133     4.16748
    2     9.73446     7.66373    -0.02648
    2     0.30679     8.85309     2.58784
    2     4.96757     2.94036    10.65900
    2     2.52492     3.29802     4.12323
    2     8.36708     9.46018     5.77249
    2     2.42502     4.73497     7.45392
    2    10.13490     5.84796     9.33974
    2     6.66542     5.77312     7.90073
    2     6.15384     6.81385    10.32960
    2     2.57100    10.62150     6.62294
    2     3.19178     2.97586     8.90522
    2     6.01138     1.91632     6.01172
    2     3.87770    10.74820     2.01525
    2     6.32499     9.32506     7.08351
    2     1.38225     8.54124     6.36283
    2     0.23368     0.70867     9.90945
    2     0.00143     0.19032     3.17610
    2     5.51800     0.68301     0.27794
    2     9.02638     3.91309    10.02410
    2     2.78732     8.88109     0.86067
    2     5.62809     7.21593     4.16135
    2     2.79993     4.34672     0.18407
    2     1.65709     5.75608     9.41004
    2    10.08790     2.42081     6.43443
    2     7.23538     1.55540     8.26837
    2     1.38306     3.78757     1.90386
    2     1.00545     3.90736     5.91584
    2     4.78151     3.60517     4.72244
    2     2.36640     0.76641     8.78768
    2     9.56134     3.51312     1.39873
    2     9.39761     9.55811     9.20310
    2     9.54654     4.80024     5.37728
    2     5.91856     5.03607     3.19535
    2     0.63524     9.33054     0.08927
    2     6.82551     4.50875    10.01820
    2     3.60263     6.83304     0.02279
    2     2.76341     7.26071     7.73874
    2     7.95386     3.91189     3.24777
    2     4.84122    10.72440     5.82760
    2     4.60827     4.83336     6.69611
    2     9.44838     0.53535     5.00725
    2     8.89991     6.27889     7.18681
    2     5.07676     5.10753     1.04918
    2     2.08323     1.37943     2.76275
    2     8.56924     1.36552     2.62495
    2     7.58204     8.60494     3.72437
    2     5.30055     9.78516     3.69483
    2     9.78291     5.40716     2.84822
    2     8.06873     2.48016     5.06766
    2     1.24235     1.21366     5.27739
    2     7.50725     8.55688     0.32042
    2     1.02662     5.32091     3.94040
